layer,sep_score
1,0.5983333333333334
2,0.5983333333333334
3,0.5983333333333334
4,0.5983333333333334
5,0.5983333333333334
6,0.595
7,0.5933333333333334
8,0.6033333333333333
9,0.5883333333333334
10,0.5933333333333334
11,0.6816666666666666
12,0.7000000000000001
13,0.7466666666666667
14,0.7816666666666666
15,0.7766666666666666
16,0.7733333333333333
17,0.7716666666666667
18,0.7283333333333333
19,0.7233333333333333
20,0.7250000000000001
21,0.7249999999999999
22,0.765
23,0.7449999999999999
24,0.76
25,0.7633333333333333
26,0.7533333333333333
27,0.74
28,0.7383333333333333
29,0.7366666666666667
30,0.7366666666666667
31,0.7333333333333332
