layer,sep_score
1,0.545
2,0.5566666666666666
3,0.5316666666666666
4,0.53
5,0.5349999999999999
6,0.5233333333333332
7,0.5349999999999999
8,0.5516666666666667
9,0.5349999999999999
10,0.5616666666666668
11,0.6950000000000001
12,0.7133333333333333
13,0.7633333333333334
14,0.7616666666666667
15,0.76
16,0.7616666666666666
17,0.7666666666666666
18,0.7649999999999999
19,0.7566666666666667
20,0.7616666666666666
21,0.7583333333333334
22,0.7550000000000001
23,0.7483333333333333
24,0.7483333333333334
25,0.7449999999999999
26,0.7466666666666667
27,0.7566666666666666
28,0.75
29,0.7433333333333333
30,0.7416666666666668
31,0.7300000000000001
