layer,sep_score
1,0.49000000000000005
2,0.4833333333333333
3,0.485
4,0.4866666666666667
5,0.5000000000000001
6,0.5116666666666667
7,0.515
8,0.53
9,0.5033333333333333
10,0.6216666666666667
11,0.6583333333333333
12,0.6633333333333333
13,0.7383333333333333
14,0.7316666666666667
15,0.7366666666666666
16,0.7183333333333334
17,0.7216666666666666
18,0.725
19,0.7166666666666666
20,0.7066666666666667
21,0.7
22,0.7066666666666667
23,0.7
24,0.6983333333333335
25,0.7016666666666668
26,0.7083333333333333
27,0.7116666666666667
28,0.7083333333333334
29,0.7133333333333333
30,0.715
31,0.7333333333333334
