layer,sep_score
1,0.4666666666666666
2,0.44833333333333336
3,0.48166666666666663
4,0.4616666666666667
5,0.4933333333333333
6,0.505
7,0.4966666666666666
8,0.485
9,0.48166666666666674
10,0.5066666666666667
11,0.6666666666666666
12,0.6666666666666666
13,0.7533333333333334
14,0.7183333333333334
15,0.7233333333333334
16,0.7216666666666666
17,0.72
18,0.7100000000000001
19,0.7066666666666667
20,0.6983333333333335
21,0.7016666666666668
22,0.7066666666666668
23,0.7066666666666668
24,0.7033333333333334
25,0.7
26,0.7016666666666668
27,0.7016666666666668
28,0.7016666666666668
29,0.7066666666666668
30,0.7016666666666668
31,0.6983333333333335
