layer,sep_score
1,0.5983333333333334
2,0.5983333333333334
3,0.5983333333333334
4,0.5983333333333334
5,0.5983333333333334
6,0.5900000000000001
7,0.5933333333333334
8,0.5983333333333334
9,0.5883333333333333
10,0.5983333333333334
11,0.6633333333333333
12,0.6983333333333334
13,0.7483333333333333
14,0.7716666666666667
15,0.7899999999999999
16,0.775
17,0.7616666666666666
18,0.66
19,0.6416666666666667
20,0.6433333333333333
21,0.6233333333333333
22,0.61
23,0.5966666666666667
24,0.5933333333333334
25,0.5983333333333334
26,0.6033333333333333
27,0.5933333333333334
28,0.6599999999999999
29,0.6416666666666666
30,0.6816666666666666
31,0.71
