layer,sep_score
1,0.4050000000000001
2,0.42333333333333334
3,0.42333333333333334
4,0.4166666666666667
5,0.41166666666666674
6,0.41833333333333333
7,0.41166666666666674
8,0.43000000000000005
9,0.37
10,0.5366666666666667
11,0.76
12,0.75
13,0.8166666666666667
14,0.8033333333333333
15,0.8183333333333334
16,0.8083333333333333
17,0.8033333333333333
18,0.7933333333333333
19,0.7916666666666666
20,0.7883333333333333
21,0.7933333333333332
22,0.78
23,0.7633333333333333
24,0.7483333333333334
25,0.7383333333333333
26,0.7333333333333334
27,0.7383333333333333
28,0.7383333333333333
29,0.7483333333333334
30,0.7416666666666666
31,0.7433333333333334
