layer,sep_score
1,0.5933333333333333
2,0.5933333333333333
3,0.5933333333333333
4,0.6033333333333333
5,0.6100000000000001
6,0.6100000000000001
7,0.5883333333333334
8,0.5916666666666666
9,0.5816666666666667
10,0.5833333333333334
11,0.6533333333333334
12,0.6366666666666666
13,0.6933333333333334
14,0.7116666666666667
15,0.755
16,0.7150000000000001
17,0.7366666666666666
18,0.7333333333333334
19,0.7383333333333334
20,0.7383333333333333
21,0.7383333333333333
22,0.7366666666666667
23,0.7333333333333334
24,0.7300000000000001
25,0.7300000000000001
26,0.7266666666666668
27,0.7233333333333333
28,0.7233333333333333
29,0.725
30,0.7216666666666667
31,0.7150000000000001
