axis,vector_type,layer,coeff,bbq_accuracy,mmlu_accuracy
age,train+prompt,14,1.8,0.59,0.443
appearance,train+prompt,13,1.2,0.593,0.473
disability,train+prompt,14,2.0,0.62,0.432
gender,train+prompt,14,1.4,0.527,0.464
nationality,train+prompt,13,2.0,0.563,0.438
race,train+prompt,14,1.8,0.6,0.454
religion,train+prompt,3,1.0,0.667,0.327
socioeconomic,train+prompt,14,2.0,0.737,0.44
