axis,vector_type,layer,coeff,bbq_accuracy,mmlu_accuracy,fairness_prompt,self_debias,bbq_test_accuracy,bbq_s_dis,bbq_s_amb,mmlu_test_accuracy,mmlu_total_questions,mmlu_correct_answers
age,train+prompt,14,1.8,0.59,0.443,False,True,0.39,-0.33,-0.203,0.438,969,424
appearance,train+prompt,13,1.2,0.593,0.473,False,True,0.513,0.025,0.014,0.438,969,424
disability,train+prompt,14,2.0,0.62,0.432,False,True,0.478,-0.014,-0.008,0.438,969,424
gender,train+prompt,14,1.4,0.527,0.464,False,True,0.517,-0.079,-0.038,0.438,969,424
nationality,train+prompt,13,2.0,0.563,0.438,False,True,0.535,0.267,0.163,0.438,969,424
