coeff,bbq_correct,mmlu_correct,bbq_accuracy,mmlu_accuracy
-2.0,54,57,0.18,0.059
-1.8,73,39,0.243,0.04
-1.6,69,28,0.23,0.029
-1.4,79,55,0.263,0.057
-1.2,90,156,0.3,0.161
-1.0,127,272,0.423,0.281
